GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-PA0423	2895.43252185746	2.05736967949001	0.0957564158981506	21.4854499324441	2.12990658075189e-102	2.00385088515637e-100
gene-PA3042	766.665614544822	2.5584410329829	0.119181999057709	21.4666732661875	3.19056340482716e-102	2.94169945925065e-100
gene-PA5173	6789.01247604079	2.87358013611321	0.133916317569819	21.4580283288856	3.84256172242978e-102	3.47337441968652e-100
gene-PA4761	9447.88842484218	-1.83695805609416	0.0858454934641306	-21.3984215357992	1.38208281400592e-101	1.22526957164756e-99
gene-PA4386	4994.51936273351	-2.04784061661735	0.0958029802223472	-21.3755418867404	2.25688027159499e-101	1.9630600098213e-99
gene-PA0059	1100.877571944	2.28465122059082	0.107013423543905	21.3492022302555	3.9665180261072e-101	3.38623112969522e-99
gene-PA0636	861.621110258805	2.81422043584953	0.132457314956795	21.2462440203281	3.57116600483461e-100	2.99328641496137e-98
gene-PA2166	531.231681053952	2.7632141901214	0.130439778590575	21.1838307299999	1.3462680497415e-99	1.10826709094791e-97
gene-PA4601	1496.76941214679	2.14977703452964	0.101943077687428	21.0880138533895	1.02474379317992e-98	8.28784015185867e-97
gene-PA3351	15820.8395394163	-1.92238787178146	0.0912490522620604	-21.0674831587347	1.58115114046347e-98	1.25674254440286e-96
gene-PA5203	3544.18774121233	-2.88535618651747	0.137000883131659	-21.0608582993193	1.81850262318938e-98	1.42089781235645e-96
gene-PA0656	719.263819255429	2.57068579262989	0.12221663492551	21.0338453042559	3.21505076458348e-98	2.47023067078831e-96
gene-PA1415	1413.53144756402	-2.08065563885508	0.0990133930053321	-21.0138808064383	4.89649370167261e-98	3.70046491224766e-96
gene-PA0736a	1006.38392467926	-2.31143841935779	0.110116439629984	-20.9908568341362	7.94997414787708e-98	5.91119045511505e-96
gene-PA5461	1845.61694047903	2.41805557659561	0.117082854995599	20.652516345681	9.26652712611049e-95	6.78074445259831e-93
gene-PA1343	874.247174577644	-4.52245249040457	0.219616172121634	-20.5925294422299	3.20207858419067e-94	2.30649723017485e-92
gene-PA3006	10992.1176695862	-3.12882199746004	0.152973450306368	-20.4533661965118	5.60693462012932e-93	3.97661055366095e-91
gene-PA0985	613.03394171428	2.92103417903565	0.143157465229286	20.4043440861238	1.53000796707948e-92	1.06868738306612e-90
gene-PA1425	708.35851294057	-2.6486743032248	0.130023560108937	-20.3707258977194	3.04136385974919e-92	2.09263990946922e-90
gene-PA0913	3310.54941675325	-1.94337305833978	0.0959537111391881	-20.2532349741093	3.32660055336914e-91	2.25523949279879e-89
gene-PA2486	559.646591892313	2.38709804119609	0.118482484854441	20.1472651770319	2.84397525057449e-90	1.9001052036447e-88
gene-PA0139	7339.55171419877	1.76743380924543	0.0881806567345634	20.043327807885	2.30808204526949e-89	1.5200368898132e-87
gene-PA4826	920.06570311723	-2.59264049782962	0.129660579840607	-19.9955954309072	6.01565917770435e-89	3.90594208580522e-87
gene-PA4176	759.328365058046	2.23764716918219	0.112786965765659	19.83959009795	1.35559438265269e-87	8.67956958892903e-86
gene-PA0039	7392.45114078377	1.97944395372246	0.0998111059175172	19.8319008243256	1.57956294670617e-87	9.97504819769237e-86
gene-PA4773	1499.08253961934	-2.0770769072169	0.104759031949031	-19.8271869124131	1.73474329111529e-87	1.08069818541101e-85
gene-PA3688	1287.96477689664	2.71869384752514	0.137297852113142	19.8014302895632	2.89360311546106e-87	1.77860138163673e-85
gene-PA4408	4761.04955148012	2.23333939689455	0.112978049607492	19.7679053997976	5.62638548567096e-87	3.41284698538725e-85
gene-PA5435	4845.90426689645	2.21514363650223	0.11216261231439	19.7493941233573	8.1185956082566e-87	4.86061373429389e-85
gene-PA1942	1352.5635959688	3.0571307788758	0.15485593564232	19.7417733210889	9.44058896549259e-87	5.57963014498985e-85
gene-PA0425	4307.7986381832	-1.74242231827555	0.0882790556574239	-19.7376637674649	1.02404640138522e-86	5.97576444352639e-85
gene-PA4607	35280.7685169048	3.6633368248166	0.188266965059453	19.4582030026338	2.48340782755701e-84	1.43106376062972e-82
gene-PA1172	707.377506779653	3.68210837219741	0.189536787864215	19.4268796769696	4.57332016233348e-84	2.60284024053794e-82
gene-PA1371	418.235776342811	2.59239254938287	0.134919506433902	19.2143643117529	2.80650422768093e-82	1.57780298653769e-80
